"","pipe_id","start","end","length","diameter"
"1",1,19,20,100,300
"2",2,3,8,100,300
"3",3,8,7,100,300
"4",4,3,7,100,300
"5",5,2,7,100,300
"6",6,17,19,100,300
"7",7,2,15,100,300
"8",8,15,17,100,300
"9",9,15,7,100,300
"10",10,19,9,100,300
"11",11,9,3,100,300
"12",12,9,8,100,300
"13",13,8,11,100,300
"14",14,19,11,100,300
"15",15,9,11,100,300
"16",16,7,11,100,300
"17",17,15,14,100,300
"18",18,17,14,100,300
"19",19,14,11,100,300
"20",20,19,14,100,300
"21",21,7,14,100,300
"22",22,2,1,100,300
"23",23,16,15,100,300
"24",24,18,17,100,300
"25",25,14,13,100,300
"26",26,12,11,100,300
"27",27,9,10,100,300
"28",28,8,5,100,300
"29",29,3,4,100,300
"30",30,2,3,100,300
"31",32,6,7,100,300
