pipe_id,start,end,length,diameter,disuse
1,1,3,100,300,0
2,1,4,100,300,0
3,1,7,100,300,0
4,1,9,100,300,0
5,1,11,100,300,0
6,2,3,100,300,0
7,2,8,100,300,0
8,2,7,100,300,0
9,2,9,100,300,0
10,3,7,100,300,0
11,3,9,100,300,0
12,4,6,100,300,0
13,4,7,100,300,0
14,4,10,100,300,0
15,4,11,100,300,0
16,5,6,100,300,0
17,5,8,100,300,0
18,6,7,100,300,0
19,6,8,100,300,0
20,6,10,100,300,0
21,7,8,100,300,0
22,10,12,100,300,0
23,10,11,100,300,0
24,11,12,100,300,0
25,13,10,100,300,0
26,14,2,100,300,0
27,15,11,100,300,0
28,16,5,100,300,0
