pipe_id,start,end,length,diameter,disuse,colid
1,2,3,100,300,0,1
2,7,8,100,300,0,1
3,8,9,100,300,0,1
4,9,10,100,300,0,1
5,10,11,100,300,0,1
6,11,12,100,300,0,1
7,12,35,100,300,0,1
8,13,14,100,300,0,1
9,14,35,100,300,0,1
10,15,13,100,300,0,1
11,16,17,100,300,0,1
12,17,18,100,300,0,1
13,18,20,100,300,0,1
14,19,13,100,300,0,1
15,20,22,100,300,0,1
16,21,24,100,300,0,1
17,22,23,100,300,0,1
18,23,25,100,300,0,1
19,24,25,100,300,0,1
20,25,28,100,300,0,1
21,26,32,100,300,0,1
22,27,29,100,300,0,1
23,28,29,100,300,0,1
24,30,31,100,300,0,1
25,31,34,100,300,0,1
26,32,33,100,300,0,1
27,33,34,100,300,0,1
28,36,37,100,300,0,1
29,37,38,100,300,0,1
30,38,39,100,300,0,1
31,40,6,100,300,0,1
32,41,28,100,300,0,1
33,42,4,100,300,0,1
34,43,5,100,300,0,1
35,44,39,100,300,0,1
36,45,3,100,300,0,1
37,46,7,100,300,0,1
38,47,31,100,300,0,1
39,48,1,100,300,0,1
40,1,16,100,300,0,2
41,1,22,100,300,0,2
42,2,4,100,300,0,2
43,2,15,100,300,0,2
44,2,16,100,300,0,2
45,3,16,100,300,0,2
46,4,5,100,300,0,2
47,4,15,100,300,0,2
48,5,9,100,300,0,2
49,5,10,100,300,0,2
50,5,15,100,300,0,2
51,6,10,100,300,0,2
52,6,11,100,300,0,2
53,7,9,100,300,0,2
54,7,10,100,300,0,2
55,7,11,100,300,0,2
56,7,12,100,300,0,2
57,8,13,100,300,0,2
58,8,14,100,300,0,2
59,8,15,100,300,0,2
60,9,15,100,300,0,2
61,12,36,100,300,0,2
62,12,37,100,300,0,2
63,12,38,100,300,0,2
64,13,18,100,300,0,2
65,13,20,100,300,0,2
66,13,36,100,300,0,2
67,14,36,100,300,0,2
68,15,17,100,300,0,2
69,15,18,100,300,0,2
70,16,22,100,300,0,2
71,17,20,100,300,0,2
72,17,22,100,300,0,2
73,19,20,100,300,0,2
74,19,21,100,300,0,2
75,19,26,100,300,0,2
76,19,27,100,300,0,2
77,19,32,100,300,0,2
78,19,36,100,300,0,2
79,20,21,100,300,0,2
80,20,24,100,300,0,2
81,21,27,100,300,0,2
82,21,29,100,300,0,2
83,22,24,100,300,0,2
84,23,24,100,300,0,2
85,24,28,100,300,0,2
86,26,27,100,300,0,2
87,26,29,100,300,0,2
88,26,30,100,300,0,2
89,26,31,100,300,0,2
90,26,33,100,300,0,2
91,26,34,100,300,0,2
92,29,30,100,300,0,2
93,32,36,100,300,0,2
94,32,37,100,300,0,2
95,33,34,100,300,0,2
96,33,37,100,300,0,2
97,33,38,100,300,0,2
98,34,38,100,300,0,2
99,34,39,100,300,0,2
100,35,36,100,300,0,2
