pipe_id,start,end,length,diameter,disuse,qmax,colid
1,2,3,12999,300,0,1,1
2,7,8,7044,300,0,1,1
3,7,9,10202,300,0,1,1
4,7,10,10003,300,0,1,1
5,8,14,7372,300,0,1,1
6,13,14,6854,300,0,1,1
7,13,15,11170,300,0,1,1
8,13,18,10092,300,0,1,1
9,14,35,5621,300,0,1,1
10,16,17,5632,300,0,1,1
11,17,18,6974,300,0,1,1
12,19,27,14868,300,0,1,1
13,20,21,11487,300,0,1,1
14,22,24,11368,300,0,1,1
15,23,25,9270,300,0,1,1
16,32,33,9010,300,0,1,1
17,33,37,12804,300,0,1,1
18,35,36,6133,300,0,1,1
19,38,39,12586,300,0,1,1
20,40,6,4654,300,0,1,1
21,41,21,12451,300,0,1,1
22,41,24,11974,300,0,1,1
23,41,25,10162,300,0,1,1
24,41,27,8837,300,0,1,1
25,41,28,5050,300,0,1,1
26,41,29,9715,300,0,1,1
27,42,4,3495,300,0,1,1
28,43,5,2507,300,0,1,1
29,44,39,1805,300,0,1,1
30,45,3,1933,300,0,1,1
31,46,7,7627,300,0,1,1
32,46,11,12527,300,0,1,1
33,46,12,8153,300,0,1,1
34,46,35,2252,300,0,1,1
35,47,26,10644,300,0,1,1
36,47,30,10164,300,0,1,1
37,47,31,3959,300,0,1,1
38,47,33,10104,300,0,1,1
39,47,34,5086,300,0,1,1
40,48,1,7719,300,0,1,1
