node_id,type,weight,discharge,elevation,max_supply_head,disuse,name,lat,lon,Totaalverb,HH_COAR,Grootverbr,Totaalve_1,x,y
1,demand,1,0.1,0,NA,0,Ameland,53.44718854,5.728743566,640620.4523,640620.4523,0,0.6,177695.361,606906.1559
2,demand,1,0.05,0,NA,0,Buitenpost,53.23471757,6.136059276,3378599.803,2757645.034,620954.7689,3.4,205007.5091,583462.8324
3,demand,1,0.05,0,NA,0,Dokkum-Holwerd,53.31346998,5.981171124,3303228.122,3303228.122,0,3.3,194592.1106,592131.655
4,demand,1,0.1,0,NA,0,Franeker-Grou,53.18457815,5.636008568,8835141.623,7955518.221,879623.4022,8.8,171634.1366,577650.9055
5,demand,1,0.15,0,NA,0,Gorredijk,52.98012415,6.082315204,2474345.133,2474345.133,0,2.5,201691.9081,555091.9906
6,demand,1,0.1,0,NA,0,Joure-Heerenveen,52.93410024,5.875840245,7719477.876,5754003.933,1965473.943,7.7,187857.4271,549856.1233
7,demand,1,0.1,0,NA,0,Leeuwarden,53.19938161,5.814228813,6863022.616,5359757.129,1503265.487,6.9,183539.5865,579354.4356
8,demand,1,0.1,0,NA,0,Oosterwolde_Drachten,53.09087697,6.138092983,6155375.615,5560235.988,595139.6264,6.2,205310.1691,567455.3849
9,demand,1,0.05,0,NA,0,Schiermonnikoog,53.48022193,6.16315979,150359.882,150359.882,0,0.2,206522.5089,610807.3275
10,demand,1,0.1,0,NA,0,Sneek,53.00362778,5.546656067,7689998.033,6452086.529,1237911.504,7.7,165704.8793,557494.6388
11,demand,1,0.1,0,NA,0,Terschelling,53.37919332,5.269675517,514762.0452,514762.0452,0,0.5,147177.4523,599290.0673
12,demand,1,0.05,0,NA,0,Vlieland,53.29844905,5.066933051,181253.6873,181253.6873,0,0.2,133643.7194,590343.7718
13,supply,1,0.05,0,10000,0,source1,53.1,5.8,NA,NA,NA,NA,NA,NA
14,supply,1,0.15,0,10000,0,source2,53.3,6.4,NA,NA,NA,NA,NA,NA
15,supply,1,0.1,0,10000,0,source3,53.25,5.7,NA,NA,NA,NA,NA,NA
16,supply,1,0.1,0,10000,0,source4,52.88,6.2,NA,NA,NA,NA,NA,NA
