FID,OBJECTID,Clusternr,Clusternaa,Name,Type,Balansnr,Balansnaam,Gebiedsnr,Gebiedsnaa,Shape_STAr,Shape_STLe
0,94,FRL,Friesland,FRL-01-01 Vlieland,Deebalansgebieden,FRL-01,Vlieland,FRL-01-01,Vlieland,33985292.102300003000000,48945.178065799999000
1,95,FRL,Friesland,FRL-02-01 Oosterend,Deebalansgebieden,FRL-02,Terschelling,FRL-02-01,Oosterend,43363598.529700004000000,54472.045589399997000
2,96,FRL,Friesland,FRL-02-02 West-Terschelling,Deebalansgebieden,FRL-02,Terschelling,FRL-02-02,West-Terschelling,43362031.538699999000000,37650.666171199999000
3,97,FRL,Friesland,FRL-03-01 Hollum,Deebalansgebieden,FRL-03,Ameland,FRL-03-01,Hollum,33371652.610100001000000,29357.667936300000000
4,98,FRL,Friesland,FRL-03-02 Nes,Deebalansgebieden,FRL-03,Ameland,FRL-03-02,Nes,26100307.937300000000000,34093.523085699999000
5,99,FRL,Friesland,FRL-04-01 Schiermonnikoog,Deebalansgebieden,FRL-04,Schiermonnikoog,FRL-04-01,Schiermonnikoog,40256170.497900002000000,49538.937578400000000
6,100,FRL,Friesland,FRL-05-01 Dokkum,Deebalansgebieden,FRL-05,Dokkum-Holwerd,FRL-05-01,Dokkum,64984347.561899997000000,48238.659841300003000
7,101,FRL,Friesland,FRL-05-02 Gytsjerk,Deebalansgebieden,FRL-05,Dokkum-Holwerd,FRL-05-02,Gytsjerk,72652533.076499999000000,50286.142870999996000
8,102,FRL,Friesland,FRL-05-03 Holwerd,Deebalansgebieden,FRL-05,Dokkum-Holwerd,FRL-05-03,Holwerd,99170760.739299998000000,70319.695084799998000
9,103,FRL,Friesland,FRL-05-04 Anjum,Deebalansgebieden,FRL-05,Dokkum-Holwerd,FRL-05-04,Anjum,123583154.807000000000000,53270.517112699999000
10,104,FRL,Friesland,FRL-06-01 Kollum,Deebalansgebieden,FRL-06,Buitenpost,FRL-06-01,Kollum,155402588.076000010000000,72689.118258999995000
