FID,OBJECTID,Clusternr,Clusternaa,Name,Type,Balansnr,Balansnaam,Gebiedsnr,Gebiedsnaa,Shape_STAr,Shape_STLe
0,94,FRL,Friesland,FRL-01-01 Vlieland,Deebalansgebieden,FRL-01,Vlieland,FRL-01-01,Vlieland,33985292.1,48945.17807
1,95,FRL,Friesland,FRL-02-01 Oosterend,Deebalansgebieden,FRL-02,Terschelling,FRL-02-01,Oosterend,43363598.53,54472.04559
2,96,FRL,Friesland,FRL-02-02 West-Terschelling,Deebalansgebieden,FRL-02,Terschelling,FRL-02-02,West-Terschelling,43362031.54,37650.66617
3,97,FRL,Friesland,FRL-03-01 Hollum,Deebalansgebieden,FRL-03,Ameland,FRL-03-01,Hollum,33371652.61,29357.66794
4,98,FRL,Friesland,FRL-03-02 Nes,Deebalansgebieden,FRL-03,Ameland,FRL-03-02,Nes,26100307.94,34093.52309
5,99,FRL,Friesland,FRL-04-01 Schiermonnikoog,Deebalansgebieden,FRL-04,Schiermonnikoog,FRL-04-01,Schiermonnikoog,40256170.5,49538.93758
6,100,FRL,Friesland,FRL-05-01 Dokkum,Deebalansgebieden,FRL-05,Dokkum-Holwerd,FRL-05-01,Dokkum,64984347.56,48238.65984
7,101,FRL,Friesland,FRL-05-02 Gytsjerk,Deebalansgebieden,FRL-05,Dokkum-Holwerd,FRL-05-02,Gytsjerk,72652533.08,50286.14287
8,102,FRL,Friesland,FRL-05-03 Holwerd,Deebalansgebieden,FRL-05,Dokkum-Holwerd,FRL-05-03,Holwerd,99170760.74,70319.69508
9,103,FRL,Friesland,FRL-05-04 Anjum,Deebalansgebieden,FRL-05,Dokkum-Holwerd,FRL-05-04,Anjum,123583154.8,53270.51711
10,104,FRL,Friesland,FRL-06-01 Kollum,Deebalansgebieden,FRL-06,Buitenpost,FRL-06-01,Kollum,155402588.1,72689.11826
11,105,FRL,Friesland,FRL-06-02 Surhuisterveen,Deebalansgebieden,FRL-06,Buitenpost,FRL-06-02,Surhuisterveen,110273028.5,56079.48082
12,106,FRL,Friesland,FRL-07-01 Leeuwarden-stad,Deebalansgebieden,FRL-07,Leeuwarden,FRL-07-01,Leeuwarden-stad,54725908.07,49014.53797
13,107,FRL,Friesland,FRL-07-02 Hurdegaryp,Deebalansgebieden,FRL-07,Leeuwarden,FRL-07-02,Hurdegaryp,41782596.92,43780.24725
14,108,FRL,Friesland,FRL-08-01 Stiens,Deebalansgebieden,FRL-08,Grou-Franeker,FRL-08-01,Stiens,224586385.4,108935.4047
15,109,FRL,Friesland,FRL-08-02 Harlingen,Deebalansgebieden,FRL-08,Grou-Franeker,FRL-08-02,Harlingen,61733829.71,41702.22444
16,110,FRL,Friesland,FRL-08-03 Franeker,Deebalansgebieden,FRL-08,Grou-Franeker,FRL-08-03,Franeker,44792263.25,47347.18995
17,111,FRL,Friesland,FRL-08-04 Dronrijp,Deebalansgebieden,FRL-08,Grou-Franeker,FRL-08-04,Dronrijp,37819915.3,37609.55325
18,112,FRL,Friesland,FRL-08-05 Grou,Deebalansgebieden,FRL-08,Grou-Franeker,FRL-08-05,Grou,197184153.4,92059.68047
19,113,FRL,Friesland,FRL-08-06 Wommels,Deebalansgebieden,FRL-08,Grou-Franeker,FRL-08-06,Wommels,169601574.5,64598.92493
20,114,FRL,Friesland,FRL-09-01 Sneek-stad,Deebalansgebieden,FRL-09,Sneek,FRL-09-01,Sneek-stad,59693127.13,44674.4163
21,115,FRL,Friesland,FRL-09-02 Bolsward,Deebalansgebieden,FRL-09,Sneek,FRL-09-02,Bolsward,130602614.7,67659.02201
22,116,FRL,Friesland,FRL-09-03 Workum,Deebalansgebieden,FRL-09,Sneek,FRL-09-03,Workum,86303410.15,47340.64259
23,117,FRL,Friesland,FRL-09-04 Heeg,Deebalansgebieden,FRL-09,Sneek,FRL-09-04,Heeg,115647488.9,59856.47852
24,118,FRL,Friesland,FRL-09-05 Stavoren,Deebalansgebieden,FRL-09,Sneek,FRL-09-05,Stavoren,182926221.3,73370.98203
25,119,FRL,Friesland,FRL-10-01 Heerenveen,Deebalansgebieden,FRL-10,Joure-Heerenveen,FRL-10-01,Heerenveen,80151235.3,63010.00631
26,120,FRL,Friesland,FRL-10-02 Joure,Deebalansgebieden,FRL-10,Joure-Heerenveen,FRL-10-02,Joure,173793962.1,73035.1373
27,121,FRL,Friesland,FRL-10-03 Lemmer,Deebalansgebieden,FRL-10,Joure-Heerenveen,FRL-10-03,Lemmer,55844772.34,50388.19596
28,122,FRL,Friesland,FRL-10-04 Echternerbrug,Deebalansgebieden,FRL-10,Joure-Heerenveen,FRL-10-04,Echternerbrug,55221227.92,37193.4905
29,123,FRL,Friesland,FRL-10-05 Munnekeburen,Deebalansgebieden,FRL-10,Joure-Heerenveen,FRL-10-05,Munnekeburen,93661086.63,80050.92658
30,124,FRL,Friesland,FRL-10-06 Wolvega,Deebalansgebieden,FRL-10,Joure-Heerenveen,FRL-10-06,Wolvega,23445998.14,28395.7582
31,125,FRL,Friesland,FRL-11-01 Beetsterzwaag,Deebalansgebieden,FRL-11,Gorredijk,FRL-11-01,Beetsterzwaag,108960417.7,60266.39213
32,126,FRL,Friesland,FRL-11-02 Jubbega,Deebalansgebieden,FRL-11,Gorredijk,FRL-11-02,Jubbega,149445352.5,67539.08608
33,127,FRL,Friesland,FRL-11-03 Noordwolde,Deebalansgebieden,FRL-11,Gorredijk,FRL-11-03,Noordwolde,138674836.1,78758.01073
34,128,FRL,Friesland,FRL-12-01 Burgum,Deebalansgebieden,FRL-12,Oosterwolde-Drachten,FRL-12-01,Burgum,13029888.06,19185.79863
35,129,FRL,Friesland,FRL-12-02 Opeinde,Deebalansgebieden,FRL-12,Oosterwolde-Drachten,FRL-12-02,Opeinde,71853889.07,43442.78742
36,130,FRL,Friesland,FRL-12-03 Drachten,Deebalansgebieden,FRL-12,Oosterwolde-Drachten,FRL-12-03,Drachten,41318105.83,36413.93427
37,131,FRL,Friesland,FRL-12-04 Ureterp,Deebalansgebieden,FRL-12,Oosterwolde-Drachten,FRL-12-04,Ureterp,151946543.6,72867.35225
38,132,FRL,Friesland,FRL-12-05 Oosterwolde,Deebalansgebieden,FRL-12,Oosterwolde-Drachten,FRL-12-05,Oosterwolde,115400459.6,65966.78972
