pipe_id,start,end,length,diameter,disuse,qmax,colid
1,2,3,12999,300,0,1,1
2,7,8,7044,300,0,1,1
3,7,9,10202,300,0,1,1
4,7,10,10003,300,0,1,1
5,8,14,7372,300,0,1,1
6,13,14,6854,300,0,1,1
7,13,15,11170,300,0,1,1
8,13,18,10092,300,0,1,1
9,14,35,5621,300,0,1,1
10,16,17,5632,300,0,1,1
11,17,18,6974,300,0,1,1
12,19,27,14868,300,0,1,1
13,20,21,11487,300,0,1,1
14,22,24,11368,300,0,1,1
15,23,25,9270,300,0,1,1
16,32,33,9010,300,0,1,1
17,33,37,12804,300,0,1,1
18,35,36,6133,300,0,1,1
19,38,39,12586,300,0,1,1
20,40,6,4654,300,0,1,1
21,41,21,12451,300,0,1,1
22,41,24,11974,300,0,1,1
23,41,25,10162,300,0,1,1
24,41,27,8837,300,0,1,1
25,41,28,5050,300,0,1,1
26,41,29,9715,300,0,1,1
27,42,4,3495,300,0,1,1
28,43,5,2507,300,0,1,1
29,44,39,1805,300,0,1,1
30,45,3,1933,300,0,1,1
31,46,7,7627,300,0,1,1
32,46,11,12527,300,0,1,1
33,46,12,8153,300,0,1,1
34,46,35,2252,300,0,1,1
35,47,26,10644,300,0,1,1
36,47,30,10164,300,0,1,1
37,47,31,3959,300,0,1,1
38,47,33,10104,300,0,1,1
39,47,34,5086,300,0,1,1
40,48,1,7719,300,0,1,1
41,2,15,24344,300,0,1,2
42,5,9,12070,300,0,1,2
43,26,27,9154,300,0,1,2
44,33,39,15183,300,0,1,2
45,4,5,11484,300,0,1,2
46,13,19,11951,300,0,1,2
47,16,22,12169,300,0,1,2
48,18,20,7446,300,0,1,2
49,36,37,7390,300,0,1,2
50,6,10,16774,300,0,1,2
51,1,16,34790,300,0,1,2
52,29,30,7604,300,0,1,2
53,37,38,11208,300,0,1,2
54,9,15,15612,300,0,1,2
55,15,17,13339,300,0,1,2
56,19,32,12802,300,0,1,2
57,12,38,15835,300,0,1,2
58,1,3,23160,300,0,1,2
59,2,4,17094,300,0,1,2
60,4,9,18013,300,0,1,2
61,4,15,19309,300,0,1,2
62,5,6,24633,300,0,1,2
63,5,10,18904,300,0,1,2
64,7,11,10054,300,0,1,2
65,8,9,9603,300,0,1,2
66,8,13,9836,300,0,1,2
67,9,10,12770,300,0,1,2
68,9,13,17976,300,0,1,2
69,10,11,9810,300,0,1,2
70,11,12,10329,300,0,1,2
71,12,35,8199,300,0,1,2
72,12,37,10199,300,0,1,2
73,12,38,15835,300,0,1,2
74,14,36,8136,300,0,1,2
75,14,19,13135,300,0,1,2
76,15,18,8939,300,0,1,2
77,16,20,13314,300,0,1,2
78,17,20,9101,300,0,1,2
79,18,19,16511,300,0,1,2
80,19,20,13152,300,0,1,2
81,19,21,12190,300,0,1,2
82,19,14,13135,300,0,1,2
83,19,36,12210,300,0,1,2
84,19,26,15548,300,0,1,2
85,20,22,13221,300,0,1,2
86,21,22,15169,300,0,1,2
87,21,24,7602,300,0,1,2
88,21,27,11632,300,0,1,2
89,22,23,13169,300,0,1,2
90,23,24,8920,300,0,1,2
91,24,25,11979,300,0,1,2
92,25,28,11235,300,0,1,2
93,26,29,14405,300,0,1,2
94,26,30,11904,300,0,1,2
95,26,32,10158,300,0,1,2
96,26,33,10868,300,0,1,2
97,27,29,10209,300,0,1,2
98,28,29,6695,300,0,1,2
99,30,31,6539,300,0,1,2
100,31,34,8397,300,0,1,2
101,31,44,21725,300,0,1,2
102,32,36,10408,300,0,1,2
103,32,37,7772,300,0,1,2
104,33,38,13012,300,0,1,2
105,33,34,9847,300,0,1,2
106,34,39,14747,300,0,1,2
107,34,44,13348,300,0,1,2
108,35,37,11853,300,0,1,2
109,46,8,8349,300,0,1,2
