node_id,type,weight,discharge,elevation,max_supply_head,disuse,use_pump_curve,ind_ratio,name,Gebiedsnr,lat,lon,node_label
1,demand,1,18.75,0,NA,0,0,0,Vlieland,FRL-01-01,53.25711738,4.961878556,1
2,demand,1,10.15,0,NA,0,0,0,Oosterend,FRL-02-01,53.41805989,5.426540541,2
3,demand,1,48.56,0,NA,0,0,0,West-Terschelling,FRL-02-02,53.38074161,5.241388892,3
4,demand,1,28.44,0,NA,0,0,0,Hollum,FRL-03-01,53.44604626,5.73,4
5,demand,1,34.12,0,NA,0,0,0,Nes,FRL-03-02,53.45444145,5.9,5
6,demand,1,16.97,0,NA,0,0,0,Schiermonnikoog,FRL-04-01,53.48862653,6.218087736,6
7,demand,1,79.98,0,NA,0,0,0,Dokkum,FRL-05-01,53.28465709,6.004911238,7
8,demand,1,58.16,0,NA,0,0,0,Gytsjerk,FRL-05-02,53.26326989,5.905541182,8
9,demand,1,1.65,0,NA,0,0,0,Holwerd,FRL-05-03,53.349377,5.896530203,9
10,demand,1,0.04,0,NA,0,0,0,Anjum,FRL-05-04,53.35969262,6.087510117,10
11,demand,1,86.18,0,NA,0,0,0,Kollum,FRL-06-01,53.28154022,6.155540113,11
12,demand,1,214.44,0,NA,0,0,0,Surhuisterveen,FRL-06-02,53.19155457,6.117739802,12
13,demand,1,714.48,0,NA,0,0,0,Leeuwarden-stad,FRL-07-01,53.19669498,5.808701549,13
14,demand,1,40.83,0,NA,0,0,0,Hurdegaryp,FRL-07-02,53.19712917,5.911251482,14
15,demand,1,277.27,0,NA,0,0,0,Stiens,FRL-08-01,53.2730144,5.700080604,15
16,demand,1,169.93,0,NA,0,0,0,Harlingen,FRL-08-02,53.18781398,5.469735977,16
17,demand,1,103.37,0,NA,0,0,0,Franeker,FRL-08-03,53.19142877,5.553772504,17
18,demand,1,73.84,0,NA,0,0,0,Dronrijp,FRL-08-04,53.19683381,5.657712343,18
19,demand,1,163.91,0,NA,0,0,0,Grou,FRL-08-05,53.09000451,5.828898107,19
20,demand,1,161.61,0,NA,0,0,0,Wommels,FRL-08-06,53.13042045,5.644357595,20
21,demand,1,228.09,0,NA,0,0,0,Sneek-stad,FRL-09-01,53.02918194,5.677711762,21
22,demand,1,219.43,0,NA,0,0,0,Bolsward,FRL-09-02,53.07849381,5.466828512,22
23,demand,1,183.68,0,NA,0,0,0,Workum,FRL-09-03,52.96023832,5.460025159,23
24,demand,1,92.63,0,NA,0,0,0,Heeg,FRL-09-04,53.00001379,5.57530443,24
25,demand,1,129.29,0,NA,0,0,0,Stavoren,FRL-09-05,52.89407682,5.543754295,25
26,demand,1,369.24,0,NA,0,0,0,Heerenveen,FRL-10-01,52.966998,5.938731522,26
27,demand,1,252.66,0,NA,0,0,0,Joure,FRL-10-02,52.95730242,5.803459354,27
28,demand,1,80.49,0,NA,0,0,0,Lemmer,FRL-10-03,52.87340337,5.70710634,28
29,demand,1,27.61,0,NA,0,0,0,Echternerbrug,FRL-10-04,52.86557761,5.805682309,29
30,demand,1,40.96,0,NA,0,0,0,Munnekeburen,FRL-10-05,52.86074884,5.918296166,30
31,demand,1,84.88,0,NA,0,0,0,Wolvega,FRL-10-06,52.85,6.012023089,31
32,demand,1,70.96,0,NA,0,0,0,Beetsterzwaag,FRL-11-01,53.04845482,6.006977539,32
33,demand,1,124.37,0,NA,0,0,0,Jubbega,FRL-11-02,52.98821012,6.096646916,33
34,demand,1,81.04,0,NA,0,0,0,Noordwolde,FRL-11-03,52.90194315,6.14,34
35,demand,1,78.78,0,NA,0,0,0,Burgum,FRL-12-01,53.19641716,5.995343683,35
36,demand,1,53.83,0,NA,0,0,0,Opeinde,FRL-12-02,53.14140783,5.989984622,36
37,demand,1,281.97,0,NA,0,0,0,Drachten,FRL-12-03,53.10280363,6.079780323,37
38,demand,1,123.8,0,NA,0,0,0,Ureterp,FRL-12-04,53.06875672,6.23719303,38
39,demand,1,124.99,0,NA,0,0,0,Oosterwolde,FRL-12-05,52.9672895,6.319980859,39
40,supply,1,16.97,0,10000,0,0,0,Schiermonnikoog,NA,53.47,6.148741876,s5
41,supply,1,1539.41,0,10000,0,0,0,Spannenburg,NA,52.9175382,5.689705585,s7
42,supply,1,28.44,0,10000,0,0,0,Hollum,NA,53.45139772,5.627553599,s3
43,supply,1,34.12,0,10000,0,0,0,Buren,NA,53.45,5.8,s4
44,supply,1,248.79,0,10000,0,0,0,Terwisscha,NA,52.85243334,6.309220881,s9
45,supply,1,58.71,0,10000,0,0,0,West Terschelling,NA,53.35,5.18,s2
46,supply,1,1952.78,0,10000,0,0,0,Noordbergum,NA,53.235,6.01,s6
47,supply,1,1053.43,0,10000,0,0,0,Oldeholtpade,NA,52.91121728,6.053640322,s8
48,supply,1,18.75,0,10000,0,0,0,Vlieland Vuurboetsduin,NA,53.2958262,5.027881021,s1
