start,end,id,length,diameter,disuse,q_max,flowdir,has_booster,booster_hmax,colid
3,2,1,12999,100,0,10.15,0,0,0,1
7,8,2,7044,700,0,1570.49,0,0,0,1
7,9,3,10202,100,0,1.65,0,0,0,1
7,10,4,10003,100,0,0.04,0,1,20,1
8,14,5,7372,700,0,1512.33,0,0,0,1
14,13,6,6854,700,0,1338.89,0,0,0,1
13,15,7,11170,300,0,277.27,0,0,0,1
13,18,8,10092,300,0,347.14,0,0,0,1
14,35,9,5621,200,0,132.61,0,0,0,1
17,16,10,5632,200,0,169.93,0,0,0,1
18,17,11,6974,300,0,273.3,0,0,0,1
27,19,12,14868,200,0,163.91,0,0,0,1
21,20,13,11487,200,0,161.61,0,0,0,1
24,22,14,11368,300,0,219.43,0,0,0,1
25,23,15,9270,300,0,183.68,0,0,0,1
33,32,16,9010,200,0,70.96,0,0,0,1
33,37,17,12804,300,0,281.97,0,0,0,1
35,36,18,6133,100,0,53.83,0,0,0,1
39,38,19,12586,200,0,123.8,0,0,0,1
40,6,20,4654,100,0,16.97,0,0,0,1
41,21,21,12451,400,0,389.7,0,0,0,1
41,24,22,11974,300,0,312.06,0,0,0,1
41,25,23,10162,300,0,312.97,0,0,0,1
41,27,24,8837,400,0,416.57,0,0,0,1
41,28,25,5050,200,0,80.49,0,0,0,1
41,29,26,9715,100,0,27.61,0,0,0,1
42,4,27,3495,100,0,28.44,0,0,0,1
43,5,28,2507,100,0,34.12,0,0,0,1
44,39,29,1805,300,0,248.79,0,0,0,1
45,3,30,1933,100,0,58.71,0,0,0,1
46,7,31,7627,800,0,1652.16,0,0,0,1
46,11,32,12527,200,0,86.18,0,0,0,1
46,12,33,8153,300,0,214.44,0,0,0,1
46,35,34,2252,200,0,132.61,0,0,0,1
47,26,35,10644,400,0,369.24,0,0,0,1
47,30,36,10164,100,0,40.96,0,0,0,1
47,31,37,3959,200,0,84.88,0,0,0,1
47,33,38,10104,400,0,477.3,0,0,0,1
47,34,39,5086,200,0,81.04,0,0,0,1
48,1,40,7719,100,0,18.75,0,0,0,1
2,15,41,24344,300,0,200,0,0,0,1
5,9,42,12070,300,0,200,0,0,0,1
26,27,43,9154,300,0,200,0,0,0,1
33,39,44,15183,300,0,200,0,0,0,1
4,5,45,11484,300,0,200,0,0,0,1
13,19,46,11951,300,0,200,0,0,0,1
16,22,47,12169,300,0,200,0,0,0,1
18,20,48,7446,300,0,200,0,0,0,1
36,37,49,7390,300,0,200,0,0,0,1
6,10,50,16774,300,0,200,0,0,0,1
1,16,51,34790,300,0,200,0,0,0,1
29,30,52,7604,300,0,200,0,0,0,1
37,38,53,11208,300,0,200,0,0,0,1
9,15,54,15612,300,0,200,0,0,0,1
15,17,55,13339,300,0,200,0,0,0,1
19,32,56,12802,300,0,200,0,0,0,1
12,38,57,15835,300,0,200,0,0,0,1
22,23,58,13169,300,0,200,0,0,0,1
1,3,59,23160,300,0,200,0,0,0,1
2,4,60,17093,300,0,200,0,0,0,1
5,6,61,24632,300,0,200,0,0,0,1
9,10,62,12770,300,0,200,0,0,0,1
19,20,63,13152,300,0,200,0,0,0,1
19,36,64,12210,300,0,200,0,0,0,1
34,44,65,13347,300,0,200,0,0,0,1
20,22,66,13221,300,0,200,0,0,0,1
26,32,67,10158,300,0,200,0,0,0,1
