start,end,id,length,diameter,disuse,q_max,flowdir,has_booster,booster_hmax,colid
3,2,1,12999,100,0,10.15,0,0,0,1
7,8,2,7044,700,0,1570.49,0,0,0,1
7,9,3,10202,100,0,1.65,0,0,0,1
7,10,4,10003,100,0,0.04,0,1,20,1
8,14,5,7372,700,0,1512.33,0,0,0,1
14,13,6,6854,700,0,1338.89,0,0,0,1
13,15,7,11170,300,0,277.27,0,0,0,1
13,18,8,10092,300,0,347.14,0,0,0,1
14,35,9,5621,200,0,132.61,0,0,0,1
17,16,10,5632,200,0,169.93,0,0,0,1
18,17,11,6974,300,0,273.3,0,0,0,1
27,19,12,14868,200,0,163.91,0,0,0,1
21,20,13,11487,200,0,161.61,0,0,0,1
24,22,14,11368,300,0,219.43,0,0,0,1
25,23,15,9270,300,0,183.68,0,0,0,1
33,32,16,9010,200,0,70.96,0,0,0,1
33,37,17,12804,300,0,281.97,0,0,0,1
35,36,18,6133,100,0,53.83,0,0,0,1
39,38,19,12586,200,0,123.8,0,0,0,1
40,6,20,4654,100,0,16.97,0,0,0,1
41,21,21,12451,400,0,389.7,0,0,0,1
41,24,22,11974,300,0,312.06,0,0,0,1
41,25,23,10162,300,0,312.97,0,0,0,1
41,27,24,8837,400,0,416.57,0,0,0,1
41,28,25,5050,200,0,80.49,0,0,0,1
41,29,26,9715,100,0,27.61,0,0,0,1
42,4,27,3495,100,0,28.44,0,0,0,1
43,5,28,2507,100,0,34.12,0,0,0,1
44,39,29,1805,300,0,248.79,0,0,0,1
45,3,30,1933,100,0,58.71,0,0,0,1
46,7,31,7627,800,0,1652.16,0,0,0,1
46,11,32,12527,200,0,86.18,0,0,0,1
46,12,33,8153,300,0,214.44,0,0,0,1
46,35,34,2252,200,0,132.61,0,0,0,1
47,26,35,10644,400,0,369.24,0,0,0,1
47,30,36,10164,100,0,40.96,0,0,0,1
47,31,37,3959,200,0,84.88,0,0,0,1
47,33,38,10104,400,0,477.3,0,0,0,1
47,34,39,5086,200,0,81.04,0,0,0,1
48,1,40,7719,100,0,18.75,0,0,0,1
2,15,41,24344,300,0,200,0,0,0,1
5,9,42,12070,300,0,200,0,0,0,1
26,27,43,9154,300,0,200,0,0,0,1
33,39,44,15183,300,0,200,0,0,0,1
4,5,45,11484,300,0,200,0,0,0,1
13,19,46,11951,300,0,200,0,0,0,1
16,22,47,12169,300,0,200,0,0,0,1
18,20,48,7446,300,0,200,0,0,0,1
36,37,49,7390,300,0,200,0,0,0,1
6,10,50,16774,300,0,200,0,0,0,1
1,16,51,34790,300,0,200,0,0,0,1
29,30,52,7604,300,0,200,0,0,0,1
37,38,53,11208,300,0,200,0,0,0,1
9,15,54,15612,300,0,200,0,0,0,1
15,17,55,13339,300,0,200,0,0,0,1
19,32,56,12802,300,0,200,0,0,0,1
12,38,57,15835,300,0,200,0,0,0,1
1,3,58,23160,300,0,200,0,0,0,1
2,4,59,17094,300,0,200,0,0,0,1
4,9,60,18013,300,0,200,0,0,0,1
4,15,61,19309,300,0,200,0,0,0,1
5,6,62,24633,300,0,200,0,0,0,1
5,10,63,18904,300,0,200,0,0,0,1
7,11,64,10054,300,0,200,0,0,0,1
8,9,65,9603,300,0,200,0,0,0,1
8,13,66,9836,300,0,200,0,0,0,1
9,10,67,12770,300,0,200,0,0,0,1
9,13,68,17976,300,0,200,0,0,0,1
10,11,69,9810,300,0,200,0,0,0,1
11,12,70,10329,300,0,200,0,0,0,1
12,35,71,8199,300,0,200,0,0,0,1
12,37,72,10199,300,0,200,0,0,0,1
12,38,73,15835,300,0,200,0,0,0,1
14,36,74,8136,300,0,200,0,0,0,1
14,19,75,13135,300,0,200,0,0,0,1
15,18,76,8939,300,0,200,0,0,0,1
16,20,77,13314,300,0,200,0,0,0,1
17,20,78,9101,300,0,200,0,0,0,1
18,19,79,16511,300,0,200,0,0,0,1
19,20,80,13152,300,0,200,0,0,0,1
19,21,81,12190,300,0,200,0,0,0,1
19,14,82,13135,300,0,200,0,0,0,1
19,36,83,12210,300,0,200,0,0,0,1
19,26,84,15548,300,0,200,0,0,0,1
20,22,85,13221,300,0,200,0,0,0,1
21,22,86,15169,300,0,200,0,0,0,1
21,24,87,7602,300,0,200,0,0,0,1
21,27,88,11632,300,0,200,0,0,0,1
22,23,89,13169,300,0,200,0,0,0,1
23,24,90,8920,300,0,200,0,0,0,1
24,25,91,11979,300,0,200,0,0,0,1
25,28,92,11235,300,0,200,0,0,0,1
26,29,93,14405,300,0,200,0,0,0,1
26,30,94,11904,300,0,200,0,0,0,1
26,32,95,10158,300,0,200,0,0,0,1
26,33,96,10868,300,0,200,0,0,0,1
27,29,97,10209,300,0,200,0,0,0,1
28,29,98,6695,300,0,200,0,0,0,1
30,31,99,6539,300,0,200,0,0,0,1
31,34,100,8397,300,0,200,0,0,0,1
31,44,101,21725,300,0,200,0,0,0,1
32,36,102,10408,300,0,200,0,0,0,1
32,37,103,7772,300,0,200,0,0,0,1
33,38,104,13012,300,0,200,0,0,0,1
33,34,105,9847,300,0,200,0,0,0,1
34,39,106,14747,300,0,200,0,0,0,1
34,44,107,13348,300,0,200,0,0,0,1
35,37,108,11853,300,0,200,0,0,0,1
46,8,109,8349,300,0,200,0,0,0,1
