id,label,type,weight,discharge,elevation,max_supply_head,disuse,use_pump_curve,ind_ratio
1,1,demand,1,18.75,0,NA,0,0,0.3
2,2,demand,1,10.15,0,NA,0,0,0.3
3,3,demand,1,48.56,0,NA,0,0,0.3
4,4,demand,1,28.44,0,NA,0,0,0.3
5,5,demand,1,34.12,0,NA,0,0,0.3
6,6,demand,1,16.97,0,NA,0,0,0.3
7,7,demand,1,79.98,0,NA,0,0,0.3
8,8,demand,1,58.16,0,NA,0,0,0.3
9,9,demand,1,1.65,0,NA,0,0,0.3
10,10,demand,1,0.04,0,NA,0,0,0.3
11,11,demand,1,86.18,0,NA,0,0,0.3
12,12,demand,1,214.44,0,NA,0,0,0.3
13,13,demand,1,714.48,0,NA,0,0,0.3
14,14,demand,1,40.83,0,NA,0,0,0.3
15,15,demand,1,277.27,0,NA,0,0,0.3
16,16,demand,1,169.93,0,NA,0,0,0.3
17,17,demand,1,103.37,0,NA,0,0,0.3
18,18,demand,1,73.84,0,NA,0,0,0.3
19,19,demand,1,163.91,0,NA,0,0,0.3
20,20,demand,1,161.61,0,NA,0,0,0.3
21,21,demand,1,228.09,0,NA,0,0,0.3
22,22,demand,1,219.43,0,NA,0,0,0.3
23,23,demand,1,183.68,0,NA,0,0,0.3
24,24,demand,1,92.63,0,NA,0,0,0.3
25,25,demand,1,129.29,0,NA,0,0,0.3
26,26,demand,1,369.24,0,NA,0,0,0.3
27,27,demand,1,252.66,0,NA,0,0,0.3
28,28,demand,1,80.49,0,NA,0,0,0.3
29,29,demand,1,27.61,0,NA,0,0,0.3
30,30,demand,1,40.96,0,NA,0,0,0.3
31,31,demand,1,84.88,0,NA,0,0,0.3
32,32,demand,1,70.96,0,NA,0,0,0.3
33,33,demand,1,124.37,0,NA,0,0,0.3
34,34,demand,1,81.04,0,NA,0,0,0.3
35,35,demand,1,78.78,0,NA,0,0,0.3
36,36,demand,1,53.83,0,NA,0,0,0.3
37,37,demand,1,281.97,0,NA,0,0,0.3
38,38,demand,1,123.8,0,NA,0,0,0.3
39,39,demand,1,124.99,0,NA,0,0,0.3
40,s5,supply,1,16.97,0,10000,0,0,0.3
41,s7,supply,1,2165,0,10000,0,0,0.3
42,s3,supply,1,28.4,0,10000,0,0,0.3
43,s4,supply,1,34.12,0,10000,0,0,0.3
44,s9,supply,1,726,0,10000,0,0,0.3
45,s2,supply,1,58.71,0,10000,0,0,0.3
46,s6,supply,1,1328,0,10000,0,0,0.3
47,s8,supply,1,576,0,10000,0,0,0.3
48,s1,supply,1,18.8,0,10000,0,0,0.3
